TYP,WAHLKREIS,WBZ,BEZEICHNUNG,A1,A2,A3,A,B,B1,C,D,D1,D2,D3,D4,D5,D6,D11,D19,E,F,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
9,50,11201,Altes Pfarrhaus Bevenrode,942,270,0,1212,802,0,9,793,286,282,50,36,38,69,1,31,7,795,274,184,72,54,91,77,7,2,8,5,0,3,3,0,1,0,11,3
9,50,11211,Ev. Gemeindezentrum Waggum,1042,283,0,1325,820,3,7,813,263,303,51,43,54,68,1,30,8,812,253,238,77,57,81,71,2,2,11,2,0,0,2,0,1,0,14,1
9,50,11212,Ev. Gemeindezentrum Waggum,867,283,0,1150,680,1,9,671,251,252,35,30,35,44,1,23,13,667,213,187,68,42,91,45,5,2,6,2,0,0,0,0,0,0,6,0
9,50,11221,Gemeinschaftshaus Bienrode,1098,258,0,1356,804,0,11,793,285,311,37,42,45,64,2,7,12,792,271,243,51,50,79,69,3,0,10,2,2,1,1,0,2,4,3,1
9,50,11231,IGS Querum,612,264,0,876,534,2,9,525,202,193,35,21,35,32,0,7,2,532,187,112,70,36,75,32,1,0,6,1,0,0,2,0,5,2,3,0
9,50,11232,IGS Querum,643,286,0,929,443,1,6,437,171,142,36,23,33,28,0,4,3,440,147,78,56,42,71,36,0,0,1,1,1,0,0,0,0,2,5,0
9,50,11241,IGS Querum,677,235,0,912,521,0,7,514,184,202,38,31,20,32,0,7,6,515,161,136,68,45,44,39,3,0,8,1,1,2,0,0,0,1,6,0
9,50,11242,IGS Querum,1012,274,0,1286,731,0,5,726,235,278,56,66,30,51,0,10,3,728,217,196,85,76,61,51,7,2,8,2,0,4,2,0,2,0,12,3
9,50,11243,IGS Querum,935,237,0,1172,645,0,8,637,175,272,54,45,26,56,2,7,6,639,157,213,77,55,45,60,5,2,8,4,0,0,1,0,0,4,7,1
9,50,11251,Grundschule Gliesmarode,982,342,0,1324,737,3,3,734,222,324,43,41,23,72,0,9,6,731,224,225,80,44,57,78,4,0,4,1,1,3,0,0,2,1,6,1
