,WBZ,BEZEICHNUNG,A,B,Beteiligung,Müller_CDU,Reimann_SPD,Krause_Grüne,Gürtas_Linke,Schramm_FDP,Hanker_AFD,Deutsch_MLPD,Rosenbaum_BIBS,CDU,SPD,Grüne,Linke,FDP,AFD,Sonstige,es_gewinner,zs_gewinner,gewichtung_zs,gewichtung_es,gewichtung_beteiligung
0,11201,Altes Pfarrhaus Bevenrode,1212,802,66.17,36.07,35.56,6.31,4.54,4.79,8.7,0.13,3.91,34.47,23.14,9.06,6.79,11.45,9.69,5.4,Müller_CDU,CDU,2,2,1
1,11211,Ev. Gemeindezentrum Waggum,1325,820,61.89,32.35,37.27,6.27,5.29,6.64,8.36,0.12,3.69,31.16,29.31,9.48,7.02,9.98,8.74,4.3100000000000005,Reimann_SPD,CDU,3,5,2
2,11212,Ev. Gemeindezentrum Waggum,1150,680,59.13,37.41,37.56,5.22,4.47,5.22,6.56,0.15,3.43,31.93,28.04,10.19,6.3,13.64,6.75,3.149999999999995,Reimann_SPD,CDU,2,5,2
3,11221,Gemeinschaftshaus Bienrode,1356,804,59.29,35.94,39.22,4.67,5.3,5.67,8.07,0.25,0.88,34.22,30.68,6.44,6.31,9.97,8.71,3.67,Reimann_SPD,CDU,2,5,2
4,11231,IGS Querum,876,534,60.96,38.48,36.76,6.67,4.0,6.67,6.1,0.0,1.33,35.15,21.05,13.16,6.77,14.1,6.02,3.7499999999999982,Müller_CDU,CDU,2,2,2
5,11232,IGS Querum,929,443,47.69,39.13,32.49,8.24,5.26,7.55,6.41,0.0,0.92,33.41,17.73,12.73,9.55,16.14,8.18,2.2599999999999945,Müller_CDU,CDU,2,2,3
6,11241,IGS Querum,912,521,57.13,35.8,39.3,7.39,6.03,3.89,6.23,0.0,1.36,31.26,26.41,13.2,8.74,8.54,7.57,4.280000000000001,Reimann_SPD,CDU,3,5,2
7,11242,IGS Querum,1286,731,56.84,32.37,38.29,7.71,9.09,4.13,7.02,0.0,1.38,29.81,26.92,11.68,10.44,8.38,7.01,5.759999999999998,Reimann_SPD,CDU,3,5,2
8,11243,IGS Querum,1172,645,55.03,27.47,42.7,8.48,7.06,4.08,8.79,0.31,1.1,24.57,33.33,12.05,8.61,7.04,9.39,5.010000000000009,Reimann_SPD,SPD,4,4,2
9,11251,Grundschule Gliesmarode,1324,737,55.66,30.25,44.14,5.86,5.59,3.13,9.81,0.0,1.23,30.64,30.78,10.94,6.02,7.8,10.67,3.1500000000000004,Reimann_SPD,SPD,5,4,2
10,11252,Grundschule Gliesmarode,1220,688,56.39,35.86,35.42,7.0,5.25,7.29,7.87,0.29,1.02,30.03,25.07,11.66,7.87,13.41,9.48,2.4799999999999933,Müller_CDU,CDU,3,2,2
11,11253,Grundschule Gliesmarode,1125,621,55.2,29.2,40.62,9.95,6.53,5.22,7.67,0.16,0.65,30.91,24.76,14.89,8.41,8.58,8.09,4.359999999999998,Reimann_SPD,CDU,3,5,2
12,11254,Grundschule Gliesmarode,1323,701,52.99,32.24,39.09,8.13,6.85,4.99,6.56,0.43,1.71,32.0,22.43,14.57,10.57,9.0,7.57,3.8599999999999994,Reimann_SPD,CDU,2,5,2
13,11261,Ev. Pfarramt Riddagshausen,426,233,54.69,35.62,33.05,11.59,7.3,4.29,6.01,0.0,2.15,32.62,21.03,16.31,9.87,9.87,5.58,4.719999999999995,Müller_CDU,CDU,2,2,2
19,11301,Grundschule Hondelage,1114,728,65.35,37.67,39.75,3.74,3.46,6.65,7.62,0.0,1.11,33.2,30.57,6.36,4.15,12.45,7.19,6.079999999999999,Reimann_SPD,CDU,2,5,1
